Date,Open,High,Low,Close*,Adj Close**,Volume
"Dec 26, 2023",489.68,496.00,489.60,493.37,493.37,"17,027,384"
"Dec 22, 2023",491.95,493.83,484.67,488.30,488.30,"25,213,900"
"Dec 21, 2023",488.11,490.95,484.19,489.90,489.90,"30,042,500"
"Dec 20, 2023",496.55,499.99,480.98,481.11,481.11,"39,789,400"
"Dec 19, 2023",494.24,497.00,488.95,496.04,496.04,"46,444,400"
"Dec 18, 2023",494.00,504.33,491.50,500.77,500.77,"41,258,700"
"Dec 15, 2023",481.94,494.04,481.20,488.90,488.90,"47,947,800"
"Dec 14, 2023",483.90,486.70,474.22,483.50,483.50,"39,123,200"
"Dec 13, 2023",476.29,485.94,476.08,480.88,480.88,"44,779,200"
"Dec 12, 2023",460.46,476.66,460.46,476.57,476.57,"37,238,700"
"Dec 11, 2023",474.91,475.31,458.30,466.27,466.27,"50,972,800"
"Dec 08, 2023",465.95,477.41,465.50,475.06,475.06,"35,880,300"
"Dec 07, 2023",457.00,466.29,456.04,465.96,465.96,"35,082,300"
"Dec 06, 2023",472.15,473.87,454.12,455.03,455.03,"38,059,000"
"Dec 05, 2023",454.66,466.00,452.71,465.66,465.66,"37,171,800"
"Dec 05, 2023",Dividend
"Dec 04, 2023",460.77,460.77,450.10,455.10,455.06,"43,754,300"
"Dec 01, 2023",465.25,472.00,461.87,467.65,467.61,"36,880,900"
"Nov 30, 2023",480.24,481.10,464.22,467.70,467.66,"52,624,700"
"Nov 29, 2023",483.79,487.62,478.60,481.40,481.36,"38,200,500"
"Nov 28, 2023",482.36,483.23,474.73,478.21,478.17,"40,149,100"
"Nov 27, 2023",478.00,485.30,476.52,482.42,482.38,"39,566,200"
"Nov 24, 2023",484.70,489.21,477.45,477.76,477.72,"29,464,500"
"Nov 22, 2023",498.52,503.35,476.90,487.16,487.12,"89,942,000"
"Nov 21, 2023",501.26,505.17,492.22,499.44,499.40,"56,574,700"
"Nov 20, 2023",493.12,505.48,491.81,504.09,504.05,"41,412,000"
"Nov 17, 2023",495.24,497.17,490.07,492.98,492.94,"32,520,500"
"Nov 16, 2023",486.79,495.25,483.30,494.80,494.76,"33,975,600"
"Nov 15, 2023",499.35,499.60,482.00,488.88,488.84,"47,549,700"
"Nov 14, 2023",496.80,498.34,490.40,496.56,496.52,"41,695,400"
"Nov 13, 2023",483.20,491.16,480.99,486.20,486.16,"38,413,600"
"Nov 10, 2023",475.00,484.72,472.83,483.35,483.31,"42,124,500"
"Nov 09, 2023",474.67,482.30,467.50,469.50,469.46,"54,049,600"
"Nov 08, 2023",461.00,468.67,459.68,465.74,465.70,"34,671,900"
"Nov 07, 2023",457.19,462.18,451.58,459.55,459.51,"34,316,500"
"Nov 06, 2023",452.85,459.35,448.99,457.51,457.47,"40,073,300"
"Nov 03, 2023",440.20,453.09,437.23,450.05,450.01,"42,385,500"
"Nov 02, 2023",433.28,438.84,428.94,435.06,435.02,"40,917,200"
"Nov 01, 2023",408.84,423.81,408.69,423.25,423.21,"43,759,300"
"Oct 31, 2023",404.50,408.79,392.30,407.80,407.76,"51,796,900"
"Oct 30, 2023",410.87,417.66,404.81,411.61,411.57,"38,802,800"
"Oct 27, 2023",411.30,412.06,400.15,405.00,404.96,"41,678,400"
"Oct 26, 2023",418.53,422.56,398.80,403.26,403.22,"54,100,100"
"Oct 25, 2023",433.98,436.50,415.55,417.79,417.75,"39,837,900"
"Oct 24, 2023",430.77,436.97,426.91,436.63,436.59,"40,146,300"
"Oct 23, 2023",412.29,432.48,409.45,429.75,429.71,"47,853,000"
"Oct 20, 2023",418.90,424.70,410.78,413.87,413.83,"47,638,100"
"Oct 19, 2023",428.11,432.97,418.82,421.01,420.97,"50,123,300"
"Oct 18, 2023",425.91,432.19,418.25,421.96,421.92,"62,729,400"
"Oct 17, 2023",440.00,447.54,424.80,439.38,439.34,"81,233,300"
"Oct 16, 2023",450.63,462.25,449.12,460.95,460.91,"37,509,900"
"Oct 13, 2023",469.60,471.16,452.80,454.61,454.57,"47,411,500"
"Oct 12, 2023",467.77,476.09,463.30,469.45,469.41,"48,132,500"
"Oct 11, 2023",461.96,468.59,460.50,468.06,468.02,"37,813,700"
"Oct 10, 2023",453.10,462.59,450.88,457.98,457.94,"36,858,200"
"Oct 09, 2023",448.42,456.05,443.68,452.73,452.69,"40,967,500"
"Oct 06, 2023",441.93,457.89,440.26,457.62,457.58,"43,339,700"
"Oct 05, 2023",440.50,449.00,438.88,446.88,446.84,"39,348,300"
"Oct 04, 2023",437.42,441.43,432.92,440.41,440.37,"36,182,100"
"Oct 03, 2023",448.08,451.30,432.46,435.17,435.13,"47,085,000"
"Oct 02, 2023",440.30,451.75,438.61,447.82,447.78,"43,329,800"
"Sep 29, 2023",438.27,441.44,433.07,434.99,434.95,"39,722,100"
"Sep 28, 2023",424.60,434.46,421.15,430.89,430.85,"42,466,300"
"Sep 27, 2023",423.30,428.72,416.29,424.68,424.64,"44,493,500"
"Sep 26, 2023",420.01,428.20,416.55,419.11,419.07,"40,228,200"
"Sep 25, 2023",415.91,425.36,411.77,422.22,422.18,"41,909,100"
"Sep 22, 2023",415.72,421.15,412.31,416.10,416.06,"47,923,600"
"Sep 21, 2023",415.83,421.00,409.80,410.17,410.13,"44,893,000"
"Sep 20, 2023",436.00,439.03,422.23,422.39,422.35,"36,710,800"
"Sep 19, 2023",438.33,439.66,430.02,435.20,435.16,"37,306,400"
"Sep 18, 2023",427.48,442.42,420.00,439.66,439.62,"50,027,100"
"Sep 15, 2023",453.41,455.99,438.08,439.00,438.96,"50,571,300"
"Sep 14, 2023",459.50,459.87,451.31,455.81,455.77,"37,009,700"
"Sep 13, 2023",446.00,459.30,445.03,454.85,454.81,"39,835,500"
"Sep 12, 2023",447.38,456.73,445.31,448.70,448.66,"34,925,600"
"Sep 11, 2023",461.48,461.63,443.12,451.78,451.74,"47,396,600"
"Sep 08, 2023",459.42,466.06,452.71,455.72,455.68,"47,306,900"
"Sep 07, 2023",455.25,463.44,451.52,462.41,462.37,"43,333,000"
"Sep 06, 2023",484.41,485.49,465.80,470.61,470.57,"46,867,000"
"Sep 06, 2023",Dividend
"Sep 05, 2023",482.23,488.51,478.60,485.48,485.40,"38,265,300"
"Sep 01, 2023",497.62,498.00,481.42,485.09,485.01,"46,319,100"
"Aug 31, 2023",493.80,497.44,489.58,493.55,493.47,"52,857,000"
"Aug 30, 2023",490.44,499.27,484.25,492.64,492.56,"73,520,600"
"Aug 29, 2023",466.66,490.81,463.91,487.84,487.76,"70,139,700"
"Aug 28, 2023",464.82,469.80,448.88,468.35,468.27,"68,519,200"
"Aug 25, 2023",470.12,478.05,450.24,460.18,460.10,"92,534,100"
"Aug 24, 2023",502.16,502.66,471.59,471.63,471.55,"115,604,400"
"Aug 23, 2023",458.66,472.00,452.08,471.16,471.08,"77,904,600"
"Aug 22, 2023",481.35,481.87,453.33,456.68,456.60,"75,720,700"
"Aug 21, 2023",444.94,470.65,442.22,469.67,469.59,"69,257,300"
"Aug 18, 2023",426.35,435.78,416.60,432.99,432.92,"58,262,200"
"Aug 17, 2023",439.70,440.62,430.01,433.44,433.37,"45,239,500"
"Aug 16, 2023",445.20,446.75,434.06,434.86,434.79,"52,745,100"
"Aug 15, 2023",445.60,452.68,437.10,439.40,439.33,"67,651,200"
"Aug 14, 2023",404.86,438.00,403.11,437.53,437.46,"69,028,600"
"Aug 11, 2023",417.51,420.18,406.39,408.55,408.48,"53,200,900"
"Aug 10, 2023",421.60,435.74,418.35,423.88,423.81,"49,270,500"
"Aug 09, 2023",442.74,443.12,421.34,425.54,425.47,"58,644,900"
"Aug 08, 2023",448.53,452.42,440.56,446.64,446.56,"35,384,300"
*Close price adjusted for splits.
